sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
"E1R: when making your roller coaster you should make the drop height 5 meters, the hill height 3 meters, and the mass of the cart 50kg

first you should make the drop 5 meters because of the relationship between height and energy.",P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the relationship between height and energy is directer so when one goes up the other goes up to.,P1_06_01_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
by making it so the height is high you make it so the energy is high too.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"for example when getting data at the top of the drop with the height of 2 meter the PE was at 977 joules of energy at the top, with the KE of 0 joules.",P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the drop with the height of 5 meters at the top had a PE of 2442 joules of energy at the top.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
with the KE of 0 joules.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
at the bottom its the same the energy just converts to the opposite.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
or into other types of energy like sound and or heat.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
in the simulation i used had no friction so there was no heat or sound energy.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
that's why when the cart got to the bottom the ke was 977 joules for the first trial and 2442 joules for the second.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
both with a pe of 0 joules.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
on earth that's not possible so that's why you want to make the hill smaller then the drop so that with the friction it can still go over the hill.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
the TE can never change it will always stay the same because of the law of conservation of energy.,P1_06_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
so starting with a higher amount of energy means you'll end with that energy.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"by making the cart 50kg the cart will make it so you can have more energy, then if you have a lower amount of mass this will make it so there is less energy.",P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
but if you have more mass then there is more friction so it might not ride as smooth.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"for example in the simulation i use i did three trials the cart mass was 40, 50, and 60kg.",P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the trial with 40kg had 1955 joules of TE.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the 50kg had 2443. the 60kg had 2932 joules.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
by making it so its 50kg you get the benefit of more energy but don't have to worry as much on the friction.,P1_06_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Dear Gonzales Family, 

The roller coaster my team has designed provides a safe yet thrilling ride.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It has an initial drop of 5 meters.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Hills reaching 4.75 m and thrilling speeds.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We believe that this ride will provide satisfaction to its riders while getting them safely to the end of the ride.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Here's a look at the data we've collected, and our progress so far in our designs.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The first step in our design process is the initial drop.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We needed to find the best height to provide the greatest amount of energy to be able to insure a fast ride.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Through our data we found that five meters provided a total energy of 2443 J and the lowest at our lowest tested height of 3.75 meters only gave a total energy of 1832 J.,P5_03_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Therefore to provide the most amount of Kinetic Energy we need to start with the highest potential energy so we need to make the initial drop start at a height of 5 meters.,P5_03_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The next step in our process is adding our hills, we discovered that for the car to make it over the hill the initial drop height has to be greater than the hill height.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"This can be explained through the Law of Conservation of Energy, energy can neither be created or destroyed, it can only be transferred from one type of energy to another.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
To get over the hill you need a large amount of Kinetic Energy and to get that Kinetic Energy you have to start with that same amount of potential energy which you can only get from the initial drop.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"So if the initial drop isnt higher than the hill, the coaster wont have the energy it needs to get the car over the hill.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Our most recent study was investigating which mass for the car would be the best at providing energy.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In this experiment we discovered that our highest mass of 60 kg with the same height of the initial drop it provided a potential energy of 2938.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"However the lowest mass we tested of 40 kg with every other aspect also remaining the same, we saw a potential energy of 1959 J.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As previously explained to have the best experience you need a lot of energy and the mass of 60 kg does that.,P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"In conclusion as explained through the data, for the best roller coaster results we suggest an initial drop of 5 meters, a hill height of 3.75 m, and a car mass of 60 kg, the riders will be safe, thrilled, and happy with their roller coaster experience!",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Well wishes, more updates will be sent later in the study.",P5_03_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Dear Gonzales Family, 

The roller coaster my team has designed provides a safe yet thrilling ride.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
It has an initial drop of 5 meters.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Hills reaching 4.75 m and thrilling speeds.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
We believe that this ride will provide satisfaction to its riders while getting them safely to the end of the ride.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Here's a look at the data we've collected, our scientific concepts, and our progress so far in our designs.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Before we get into our research here are some concepts you need to understand.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
One of them is total energy.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"This is all of the energy that's there, the potential and kinetic energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Think of it like a math equation, PE + KE = Total Energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable
"Another concept you need to know is the Law of Conservation of Energy, ""Energy can neither be created nor destroyed, only transferred from one type to another"".",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable
"So basically at the initial drop you would have all of your energy as potential energy but as it starts going, it becomes potential energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Now that you know some of the vocabulary, and ideas of the project we can get into the details of our study.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The first step in our design process is the initial drop.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
We needed to find the best height to provide the greatest amount of energy to be able to insure a fast ride.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Through our data we found that five meters provided a total energy of 2443 J and the lowest at our lowest tested height of 3.75 meters only gave a total energy of 1832 J.,P5_03_01_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Therefore to provide the most amount of Kinetic Energy we need to start with the 
highest potential energy so we need to make the initial drop start at a height of 5 meters.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"The next step in our process is adding our hills, we discovered that for the car to make it over the hill the initial drop height has to be greater than the hill height.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"This can be explained through the Law of Conservation of Energy, the PE is needed to make the KE to get over the hill.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
To get over the hill you need a large amount of Kinetic Energy and to get that Kinetic Energy you have to start with that same amount of potential energy which you can only get from the initial drop.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"In the trial when we had both the hill height set to 5 m, the car didn't go over, however when the initial drop was set to 5 and the hill height was set to 4.5, not only did the car make it over but it only lost 
1 J of total energy.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"So if the initial drop isn't higher than the hill, the coaster wont have the energy it needs to get the car over the hill.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
And having a hill height of around 4.5 is a great height to maintain energy and get over the hill safely.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Our most recent study was investigating which mass for the car would be the best at providing energy.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
In this experiment we discovered that our highest mass of 60 kg with the same height of the initial drop it provided a potential energy of 2938.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"However the lowest mass we tested of 40 kg with every other aspect also remaining the same, we saw a potential energy of 1959 J.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
As previously explained to have the best experience you need a lot of energy and the mass of 60 kg does that.,P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
"In conclusion as explained through the data, for the best roller coaster results we suggest an initial drop of 5 meters, a hill height of 3.75 m, and a car mass of 60 kg, the riders will be safe, thrilled, and happy with their roller coaster experience!",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Well wishes, more updates will be sent later in the study.",P5_03_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"E1: Dear Gonzales family,we have come up with the best possible design for your coaster.We have figured out the best way to make sure the coaster will be safe but also fun.",P5_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
For starters you will want a release height as high as you can have it.The higher you start your coaster the more total energy it has meaning it will have more potential and kinetic energy so it will go faster and farther.As shows in out data when when we released a coaster from a height of 5m the total energy was 2321J but when we released one from a height of 3.49m the total energy was only 1705J.,P5_04_08_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Also you will want your initial drop height to be higher than every hill you will have.This is because if it is not higher than those hills it will not have enough total energy to be able to make it over the hills and to the end.This is shown in our data when we released a cart and the hill was at 4.4m and the initial drop height was 5m the cart made it over.However when the hill was at 5m,same as the initial drop height it didn't make it over the hill.",P5_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Secondly you will want to have the cart mass be as much as possible.The more mass the cart has the more energy it will have.,P5_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Meaning it will be a more thrilling ride.For example in out data we discovered when we kept the initial drop height and hill height the same but changed the mass we got different total energy's.When we gave the cart a mass of 60kg it had 2938j but when we lower'd the mass of the cart to 40 kg it only had 1959j.,P5_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So after testing and putting all out data together we have coem up with the best design for your roller coaster.,P5_04_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Dear Gonzales family,we have come up with the best possible design for your coaster.We have figured out the best way to make sure the coaster will be safe but also fun.",P5_04_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For starters you will want the initial drop height to be as high as you can have it.This is because the Law of Conservation of Energy states that energy cannot be created or destroyed.Instead it is just transfer'd between energy like how KE+PE=TE and when there is no movement and the cart sits on the top of the drop all energy is PE,until it starts moving down the drop most of the PE transfers into KE.",P5_04_08_22-23,E1R,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable
The reason you want to start you initial drop higher is so you start your coaster with more total energy meaning it will have more potential and kinetic energy so it will go faster and farther.As shows in out data when when we released a coaster from a height of 5m the total energy was 2321J but when we released one from a height of 3.49m the total energy was only 1705J.,P5_04_08_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Also you will want your initial drop height to be higher than every hill you will have.This is because if it is not higher than those hills it will not have enough total energy to be able to make it over the hills and to the end.This is shown in our data when we released a cart and the hill was at 4.4m and the initial drop height was 5m the cart made it over.However when the hill was at 5m,same as the initial drop height it didn't make it over the hill.",P5_04_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Secondly you will want to have the cart mass be as much as possible.The more mass the cart has the more energy it will have.,P5_04_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Meaning it will be a more thrilling ride.For example in out data we discovered when we kept the initial drop height and hill height the same but changed the mass we got different total energy's.When we gave the cart a mass of 60kg it had 2938j but when we lower'd the mass of the cart to 40 kg it only had 1959j.,P5_04_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So after testing and putting all out data together we have come up with the best design for your roller coaster.,P5_04_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Hello Gonzales family,
I have discovered that the most optimal roller coaster design involves an initial drop height of 5.00.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It is important to ensure that the hill height is not greater than the hill itself.,P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"At the top of the initial drop, the potential energy would be 2243, while the kinetic energy would be at 0.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As the cart starts to move down the hill, the kinetic energy would be 2243, and the potential energy would be 0.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
These two forms of energy have a significant impact on the total amount of energy.,P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The greater the potential energy, the greater the kinetic energy, resulting in a greater effect on the total amount of energy.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If a coaster cart with a mass of 60 begins to move downhill, there is a change in both its kinetic and potential energy.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For instance, if the potential energy at the top of the hill is 2937, the kinetic energy at the bottom of the hill would be 2930.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This change occurs due to the cart's increased speed as it moves downhill, which is caused by its mass.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The law of conservation of energy states that energy cannot be created or destroyed, but can only be transformed between potential and kinetic forms.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
I've learned that the height of the hill cannot exceed the height of the initial drop.,P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"For instance, if the initial drop height is 4.59 and the hill height is 5.00, the coaster cart won't be able to go over the hill.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The amount of mass, potential energy, and kinetic energy are interrelated, as they all play a crucial role in assisting the coaster cart to traverse over the hill.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Based on research, it has been determined that the most efficient height for a roller coaster design is an initial height of 5.00.",P5_06_18_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Hello Gonzales family,
I have discovered that the most optimal roller coaster design involves an initial drop height of 5.00.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It is important to ensure that the hill height is not greater than the hill itself.,P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"At the top of the initial drop, the potential energy would be 2243, while the kinetic energy would be at 0.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As the cart starts to move down the hill, the kinetic energy would be 2243, and the potential energy would be 0.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
These two forms of energy have a significant impact on the total amount of energy.,P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The greater the potential energy, the greater the kinetic energy, resulting in a greater effect on the total amount of energy.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If a coaster cart with a mass of 60 begins to move downhill, there is a change in both its kinetic and potential energy.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For instance, if the potential energy at the top of the hill is 2937, the kinetic energy at the bottom of the hill would be 2930.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This change occurs due to the cart's increased speed as it moves downhill, which is caused by its mass.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The law of conservation of energy states that energy cannot be created or destroyed, but can only be transformed between potential and kinetic forms.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
I've learned that the height of the hill cannot exceed the height of the initial drop.,P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"For instance, if the initial drop height is 4.59 and the hill height is 5.00, the coaster cart won't be able to go over the hill.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The amount of mass, potential energy, and kinetic energy are interrelated, as they all play a crucial role in assisting the coaster cart to traverse over the hill.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Based on research, it has been determined that the most efficient height for a roller coaster design is an initial height of 5.00.",P5_06_18_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: In order to have a safe and exiting ride you will need to have an initial drop, a hill, and mass and energy.",P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The height of the initial drop has to be higher than the height of any hill.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The height of the initial drop was 5.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the height of the hill was 3.20 (lower) the car went over the hill.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
when the height of the hill was 5 (same) the car didn't go over the hill.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The higher the initial drop the more total energy there will be.,P5_04_15_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop had a height of 2, the TE was 977 J. when the initial drop had a height of 5, the TE was 2443 J.",P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the top of the initial drop its a PE and as the car goes down the hill it all transfers to KE.,P5_04_15_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
KE + PE = TE.,P5_04_15_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
The more the car weighs the more total energy there is.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
When the car mass was 40kg the total energy was 1958 J. when the car mass was 60kg the total energy was 2937 J. at the initial drop its a PE and at the bottom of the drop it is mostly KE with a couple PE J.,P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"My roller coaster design will be exiting because it will be fast have hills, and will make it to the end of the ride.",P5_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: In order to have a safe and exiting ride you will need to have an initial drop, a hill, and mass and energy.",P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The height of the initial drop has to be higher than the height of any hill.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The height of the initial drop was 5.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the height of the hill was 3.20 (lower) the car went over the hill.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
when the height of the hill was 5 (same) the car didn't go over the hill.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The higher the initial drop the more total energy there will be.,P5_04_15_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop had a height of 2, the TE was 977 J. when the initial drop had a height of 5, the TE was 2443 J.",P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the top of the initial drop its a PE and as the car goes down the hill it all transfers to KE.,P5_04_15_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the top of the initial drop of 2 the PE of 977 J.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
And as the car went down the drop the KE had 977 J and PE had 0 because all of the energy was transferred.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The KE and the PE equal the TE.,P5_04_15_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
The potential energy is the energy that is being stored in an object.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The kinetic energy is the moving energy in an object.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The law conservation of energy states that you can create or destroy energy, so the hill has to be the highest possible because the higher the hill is, the more energy the car will have.",P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
All or most of the PE energy at the top of the initial drop will transform to KE as it goes down the drop.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The more the car weighs the more total energy there is.,P5_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
