sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
"When the drop height was 5m the 2443 and a ke of 2442 at the bottom of the hill, when the drop height was 3 m the pe was 1466 and the ke was 1465.",P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The hill should be 3m tall, with the 5m drop the 3m hill the car will make it over the hill.",P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the hill height was 3m the car made it over the hill but when the height was increased to 5m the car could not make it over the hill.,P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the car should be 60kg.,P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The pe for a 60kg car will be 2933J but when I decreased the mass to 50kg the pe was only 2444.,P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The greater the mass the more pe and ke the car will have.,P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"When the mass is 60kg the pe was 2933J and had a ke of 2932J of ke, but when the mass was 40kg the pe was 1955 and had a ke of 1955.",P1_05_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: The height of the drop should be 5 m. this will give the most pe to make it to the end of the ride.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the height has increased the pe will increase with it.,P1_05_03_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The pe of the 5 m drop was 2443J but when I decreased the height to 4 m the pe was 1955J.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"the pe, and ke will always be the same as long as the ride ends on the ground.",P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the drop height was 5m the 2443 and a ke of 2442 at the bottom of the hill, when the drop height was 3 m the pe was 1466 and the ke was 1465.",P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total energy is the same as the pe at the top and the ke at the bottom.,P1_05_03_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"With a drop height of 5 meters, the pe at the top was 2443J and the ke at the bottom was 2442J the total energy for that drop was 2443.",P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the drop was decreased to 4m The hill should be 3m tall, with the 5m drop the 3m hill the car will make it over the hill.",P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the hill height was 3m the car made it over the hill but when the height was increased to 5m the car could not make it over the hill.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the car should be 60kg.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The pe for a 60kg car will be 2933J but when I decreased the mass to 50kg the pe was only 2444.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The greater the mass the more pe and ke the car will have.,P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"When the mass was 60kg the pe was 2933J and had a ke of 2932J of ke, but when the mass was 40kg the pe was 1955 and had a ke of 1955.",P1_05_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Dear Gonzales family, 
You should build our design because it works well, and people will like it.",P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Here I will prove to you all of the things I just said with data from test runs, logic, and the relation ships between energy and the track.",P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First our design works well, our design was built with speed and success in mind.",P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In our roller coaster design we start off with a high 5 meter drop that will give the roller coaster cart enough energy to follow through with the rest of the coaster.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"In one of our test drops when the cart fell from 5 meters it went through the entire coaster because when the PE at the top of the coaster is higher, the faster the roller coaster cart will go.",P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So when that cart fell from 5 meters the PE at the top was 2443.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When we dropped the roller costar cart from 2 meters it didn't go as fast or as far and make it to the end of the track because the PE at the top was 977.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So you should use our design because we have a higher drop and the roller coaster cart makes it to the end of the track successfully.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Seconded I want to talk about how our roller coaster works well because of the hill.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In a roller coaster we all know there are many ups and downs to make it more fun for the rider in our roller coaster we added a hill after the drop out hill is 2 meters tall.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Our hill is 2 meters tall so that the roller coaster cart can get over it and it wont stop mid way.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In our test drops when we had our hill at 2 meters the cart went over it without a problem because it had enough energy form our 5 meter drop to go over the 2 meter hill.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But when we had out hill also at 5 meters the cart failed to go over because it didn't have enough energy form the 5 meter drop to go over it.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When adding hills in roller coasters you need to make sure the initial drop is higher then the hill or the cart will not be able to go over it.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
You should use our design because we added fun and successful hills into our coaster.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Third and lastly I wanted to talk about mass and energy relating to our roller coaster.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the cart effects the energy that the cart has for the ride.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Our car mass is 60 because the more mass the cart has the more energy it has to go faster and farther.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
When we tested the cart mass at 60 it got to the bottom easily because it was heavier vs when we tested it at 40 then it took longer to go down the track.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
proving that you should use our design because out coaster will go farther then others.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
That is the end of my letter to you I hope this helps you decide that our design is the best and it will work very well.,P5_07_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Dear Gonzales family, 
You should build our design because it works well, and people will like it.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Here I will prove to you all of the things I just said with data from test runs, logic, and the relation ships between energy and the track.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First our design works well, our design was built with speed and success in mind.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In our roller coaster design we start off with a high 5 meter drop that will give the roller coaster cart enough energy to follow through with the rest of the coaster.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"In one of our test drops when the cart fell from 5 meters it went through the entire coaster because when the PE at the top of the coaster is higher, the faster the roller coaster cart will go.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So when that cart fell from 5 meters the PE at the top was 2443.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When we dropped the roller costar cart from 2 meters it didn't go as fast or as far and make it to the end of the track because the PE at the top was 977.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So you should use our design because we have a higher drop and the roller coaster cart makes it to the end of the track successfully.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Seconded I want to talk about how our roller coaster works well because of the hill.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In a roller coaster we all know there are many ups and downs to make it more fun for the rider in our roller coaster we added a hill after the drop out hill is 2 meters tall.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Our hill is 2 meters tall so that the roller coaster cart can get over it and it wont stop mid way.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In our test drops when we had our hill at 2 meters the cart went over it without a problem because it had enough energy form our 5 meter drop to go over the 2 meter hill.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But when we had out hill also at 5 meters the cart failed to go over because it didn't have enough energy form the 5 meter drop to go over it.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When adding hills in roller coasters you need to make sure the initial drop is higher then the hill or the cart will not be able to go over it.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
You should use our design because we added fun and successful hills into our coaster.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Third I wanted to talk about the relationship between PE, KE and total energy.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When dealing with energy you need to keep the Law conservation of energy in mind.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The Law of conservation energy is energy cannot be created or destroyed it can only be transferred.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"So with PE , KE and total energy the PE at the top will usually be similar to the KE at the bottom, and the total energy all throughout.",P5_07_09_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
The total energy takes the highest energy and becomes it.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Potential energy is at the top because it's saying how much energy it could have bu the Kinetic energy is what it really has so that's why it's at the bottom.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Like when we tested the initial drop the PE at the top was 2443, The KE at the bottom was 2442 and the total energy was 2433.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Showing the PE at the top will be similar to the KE at the bottom, and the total energy all throughout.",P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Fourth and lastly I wanted to talk about mass and energy relating to our roller coaster.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the cart effects the energy that the cart has for the ride.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Our car mass is 60 because the more mass the cart has the more energy it has to go faster and farther.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
When we tested the cart mass at 60 it got to the bottom easily because it was heavier vs when we tested it at 40 then it took longer to go down the track.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
proving that you should use our design because out coaster will go farther then others.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
That is the end of my letter to you I hope this helps you decide that our design is the best and it will work very well.,P5_07_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: My teams roller coaster design will be exciting and make it to the end without stopping because it has many drops that are bigger than the loops.,P6_07_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This will make the cart reach the end because the drop needs to be taller than the loops for the cart to make it all the way around.,P6_07_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"I know this because in my testing data, the lower the hill compared to the initial drop, the more total energy there is.",P6_07_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This is because the cart doesn't need as much energy to go around these loops or hills when they're smaller vs when they're bigger, also giving it more total energy.",P6_07_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It will also make it exciting because in the ride It'll go around loops and up hills faster giving it more of a thrill.,P6_07_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
